State,Trump,Clinton,No_voters,pct.Trump,pct.Clinton,median household income 2016,unemployment rate,pct white,pct black,pct other,pct_high_school_degree,pct_bachelor_degree,Gini coefficient,Pct_below_poverty_level,Southern_state
New York,2819534,4556124,7483592,36.8,59.5,62909,7.5,64.3,15.6,8.6,85.9,19.7,0.513,15.5,0
North Carolina,2362631,2189316,4682073,50.5,46.8,50584,8.3,69.2,21.5,3,86.3,18.8,0.478,16.8,1
North Dakota,216794,93758,335766,64.1,27.7,60656,2.8,88.3,2,0.8,92,20.5,0.453,11.2,0
Ohio,2841005,2394164,5455938,51.8,43.7,52334,7.2,82.2,12.3,0.8,89.5,16.7,0.468,15.4,0
Oklahoma,949136,420375,1452992,65.3,28.9,49176,6,72.9,7.3,2.6,87.3,16.3,0.465,16.5,1
Oregon,782403,1002106,1928742,40.6,52,57532,8.1,85.1,1.9,3.1,90,19.6,0.458,15.7,0
Pennsylvania,2970733,2926441,6093830,48.6,47.9,56907,7.2,81.4,11,2,89.5,17.8,0.469,13.3,0
Rhode Island,180543,252525,454034,55.5,39.7,60596,7.7,81,6.5,5.8,87,19.4,0.478,13.8,0
South Carolina,1155389,855373,2073000,54.9,40.7,49501,8.4,67.3,27.4,1.5,86,16.9,0.474,17.2,1
South Dakota,227721,117458,366029,61.5,31.7,54467,4.1,84.8,1.7,0.9,91.2,19.4,0.45,14,0
Tennessee,1522925,870695,2480010,61.1,34.9,48547,7.5,77.8,16.8,1.4,86,16.1,0.479,17.2,1
Texas,4685047,3877868,8917965,52.5,43.5,56565,6.4,74.8,11.9,5.8,82.3,18.5,0.48,16.7,1
Utah,515231,310676,1118643,45.5,27.5,65977,5.1,87.3,1.1,4.8,91.5,21,0.426,11.7,0
Vermont,95369,178573,290778,32.6,61.1,57677,5,94.7,1.2,0.4,91.9,21.7,0.454,11.6,0
Virginia,1769443,1981473,3896828,44.8,50.2,68114,5.9,68.7,19.2,2.3,88.6,21.2,0.471,11.4,1
Washington,1221747,1742718,3038969,38.1,54.3,67106,6.8,77.3,3.6,3.9,90.6,21.3,0.459,12.7,0
West Virginia,489371,188794,709244,68.6,26.5,43385,7.5,93.5,3.4,0.3,85.3,11.9,0.471,17.7,1
Wisconsin ,1405284,1382536,2925566,47.8,47,56811,5.5,86.2,6.3,1.8,91.4,18.7,0.45,12.7,0
Wyoming,174419,55973,246194,70.1,22.5,59882,4.9,91.2,1.1,1.8,92.4,17.2,0.436,11.6,0
